State,Abbr,Capital,City,Population
Alabama,AL,Montgomery,Huntsville,4628981.0
Alaska,AK,Juneau,Anchorage,675302.0
Arizona,AZ,Phoenix,Phoenix,6029141.0
Arkansas,AR,Little Rock,Little Rock,2821761.0
California,CA,Sacramento,Los Angeles,36021202.0
Colorado,CO,Denver,Denver,4720423.0
Connecticut,CT,Hartford,Bridgeport,3517460.0
Delaware,DE,Dover,Wilmington,859268.0
Florida,FL,Tallahassee,Jacksonville,570681.0
Georgia,GA,Atlanta,Atlanta,18166990.0
Hawaii,HI,Honolulu,Honolulu,9155813.0
Idaho,ID,Boise,Boise,1309731.0
Illinois,IL,Springfield,Chicago,1468669.0
Indiana,IN,Indianapolis,Indianapolis,12643955.0
Iowa,IA,Des Moines,Des Moines,6332669.0
Kansas,KS,Topeka,Wichita,2982644.0
Kentucky[B],KY,Frankfort,Louisville,2762931.0
Louisiana,LA,Baton Rouge,New Orleans,4219239.0
Maine,ME,Augusta,Portland,4302665.0
Maryland,MD,Annapolis,Baltimore,1323619.0
Massachusetts[B],MA,Boston,Boston,5627367.0
Michigan,MI,Lansing,Detroit,6410084.0
Minnesota,MN,Saint Paul,Minneapolis,10036081.0
Mississippi,MS,Jackson,Jackson,5163555.0
Missouri,MO,Jefferson City,Kansas City,2904978.0
Montana,MT,Helena,Billings,5842704.0
Nebraska,NE,Lincoln,Omaha,952692.0
Nevada,NV,Carson City,Las Vegas,1772693.0
New Hampshire,NH,Concord,Manchester,2522658.0
New Jersey,NJ,Trenton,Newark,1308389.0
New Mexico,NM,Santa Fe,Albuquerque,8661679.0
New York,NY,Albany,New York City,1962137.0
North Carolina,NC,Raleigh,Charlotte,19104631.0
North Dakota,ND,Bismarck,Fargo,8917270.0
Ohio,OH,Columbus,Columbus,649422.0
Oklahoma,OK,Oklahoma City,Oklahoma City,11481213.0
Oregon,OR,Salem,Portland,3594090.0
Pennsylvania[B],PA,Harrisburg,Philadelphia,3670883.0
Rhode Island,RI,Providence,Providence,12510809.0
South Carolina,SC,Columbia,Charleston,1063096.0
South Dakota,SD,Pierre,Sioux Falls,4357847.0
Tennessee,TN,Nashville,Nashville,783033.0
Texas,TX,Austin,Houston,6088766.0
Utah,UT,Salt Lake City,Salt Lake City,23359580.0
Vermont,VT,Montpelier,Burlington,2525507.0
Virginia[B],VA,Richmond,Virginia Beach,622892.0
Washington,WA,Olympia,Seattle,7673725.0
West Virginia,WV,Charleston,Charleston,6370753.0
Wisconsin,WI,Madison,Milwaukee,1827912.0
Wyoming,WY,Cheyenne,Cheyenne,5577655.0
